"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4509913700363","37.0772780150153","52.2939099492755","54.4034191327832","","","","","","","","","","","","","69.1921886031503","64.0504160397904","70.4662619818776","72.9442880579616","79.2842872907886","79.8771647108445","74.5233409273812","63.6337689521087","74.8082518103115","83.4542198469267","81.9201392916816","","","",
"Andorra","AND","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.84568513687581","","","","","","","","","","","",
"Argentina","ARG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.0284206863703","63.4012140067668","60.080359768226","46.5518225541677","48.2562845172053","",
"American Samoa","ASM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.227485341102","11.9186578448085","14.1452466452466","17.8738893678711","20.1885057766862","21.6803200993857","21.8111080233435","20.8599426944392","16.8775032244926","31.0660703401538","29.5228121217974","27.6933059278882","25.8835396049421","25.0737136225763","22.8610710239339","22.4060502981278","21.439297308383","20.0957188232021","18.1805465955822","23.8686549747471","28.6633975352712","30.0953996273683","39.441661369273","37.5600008066242","41.7223304965257","46.4820384628409","54.6779869160885","53.3164358193161","54.5030658860126","60.2260851971351","69.3215748590956","70.0109117652417","58.0466964106785","","",
"Austria","AUT","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.57653797474662","6.29501240116287","6.38557579182856","","","","","","","","","","22.1899994626478","16.8224266977958","","","",
"Burundi","BDI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.5738610534927","47.0623633717549","73.3851925518101","55.5822235545459","62.5256115534246","61.2860389683284","",
"Bangladesh","BGD","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4618431575804","31.863991518402","31.2044521104432","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.67539435426901","14.4052165631514","18.732405446645","17.0153363819107","15.7248022647076","14.9389566082491","13.9070398716136","14.916205663568","18.6135552828644","20.8358032721467","25.7450148929614","27.1047836328351","28.3796671065326","32.4533576041094","29.3985591955441","","20.2540605565848","7.54545632569935","7.2926256555605","15.6294022913075","29.0713708137176","34.5689325404164","35.6065986264045","42.2700248553772","43.5275770260668","60.7584088656577","70.5694533398636","77.5251429515026","84.3014580347853","91.3598106259863","111.598089477141","","","","",
"Bahamas, The","BHS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4188250157928","27.9767032232351","30.6304277902863","34.4340232858991","34.8665234734581","33.9982502187227","34.2227763923525","21.7237964992515","20.9517328580084","19.6411443712608","18.7520042790972","","","","","","22.7774542844919","22.9908535609144","25.45550066502","30.908208407968","33.6922817103418","35.306429206242","36.4498330286183","44.7663646864529","46.3248467111347","47.6225079407988","50.2046646297839","52.624565152769","56.5027068771842","56.6924606462303","79.0414158203086","82.5398306524293","77.6639776530748","73.7303208143","",
"Bosnia and Herzegovina","BIH","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.8346942869169","49.0902635279898","49.6097513913455","53.5008608706996","","52.2381277367734","47.371562985449","44.8932408077693","44.0235719186881","45.4216368447367","46.9748191378299","41.7435105198961","40.3101187929916","",
"Belarus","BLR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7608695652174","5.18781725888325","75.9557129208116","16.8800606245315","11.5201288580528","12.1714690728675","20.1805426390813","15.103117448937","15.0144518163306","11.440616774975","12.3366860124798","","","6.57022058767027","6.64440183178372","8.9092608163614","10.6566343685377","18.5574619808712","18.905245726907","39.4168108447656","24.4293134230567","23.8372955552391","24.5487262642116","37.5981780556757","38.9240984107258","39.8801045313301","37.0957369908527","33.2442039424903","","","","","",
"Belize","BLZ","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1854153340035","21.3336961982917","24.5332136445242","26.2706382413495","27.9544865984721","27.4926439167328","29.2723746841394","","","","","","50.4011167798176","66.584040033616","78.5282507049291","69.6530051866165","67.0722433460076","64.0632944760119","62.0173673011674","64.9312111341427","64.1597353497165","62.5666511589721","61.3845710694459","61.2077235272414","61.0306091429908","","","","","","","","","","",
"Bermuda","BMU","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1717241709186","57.4113793922892","47.8828066229933","46.5365054086561","47.0751925934341","56.2575829839375","60.1091977404058","68.3398527645303","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.3187804643039","59.3416583028164","59.8494900007969","57.2284093845516","58.4572711058609","67.5375540310909","73.4188038014782","83.669202649666","86.6078841211512","92.5652531945418","98.7098819468714","85.0115036768016","79.1023218878495","83.0317498523878","",
"Barbados","BRB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.7916238643802","62.3690591999655","66.8016267359889","71.0883224744168","86.8542626598636","83.5324383616584","87.4018651698206","98.6286874336911","105.110599279352","113.452822344532","126.369906238259","133.202197631614","","","","","","","","",
"Brunei Darussalam","BRN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3463593270416","49.386292649567","47.4833533625875","40.9407963084292","34.4420204367148","28.2639492340235","37.853277255727","31.9367467746927","31.0826268923135","36.0933589086497","37.2923933577388","67.1679909951713","54.1217805841119","65.6287612724923","71.8993384935838","75.6957100342792","71.297555656776","59.811072814383","57.6965298565065","53.9367496631031","50.9195301727763","57.5496480907902","67.0148156229242","88.9492144824279","84.9990711320017","81.0505609933361","92.2912012820179","95.7786849944102","95.847821202237","90.3573525676224","111.007884099526","","","","",
"Botswana","BWA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3711032492715","12.1168020575228","12.5321505732804","12.4450599461028","12.0423976352474","10.972076070214","11.1567555492122","","","","","","","","","","6.02356808660498","5.9431764131185","8.00402997376666","19.2517818685668","21.8862970525722","21.0743622822987","20.6231807851092","19.0163812887175","18.3257336074772","19.086977673602","15.8049523139869","14.6807691758665","15.2307151442609","16.193904309718","19.6161332426255","","","","",
"Central African Republic","CAF","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.7622404568793","67.4447435281779","70.7020527924547","75.1877082393509","75.9438464996237","77.3126219756355","78.0386679289258","74.9284095733244","72.4827997563099","66.245831750035","58.7379742383571","57.4583564504362","54.1491194927984","51.2713370557453","46.8009858324025","46.0616514241618","43.2916781929928","39.1585639491399","45.3205112731135","53.1924466726998","53.1497329605545","54.1193858391726","55.7251649377054","53.200869076551","51.4827081297932","55.9915837788793","56.0236243991088","54.4625651849142","53.1515356456582","53.3623246913959","74.5544073791525","68.7795713723483","59.9440184640855","62.4731322069255","64.9693295910634",
"Central Europe and the Baltics","CEB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3253217628628","13.0443645232101","15.2316390716792","18.4445481282332","20.0680258700935","22.4952087771142","22.9044358708838","24.923764904958","27.1341876040475","25.0056548766129","25.7779061612304","24.7027735782155","29.742984484904","28.8028890808021","29.3653695166451","29.3971783222549","25.7683538859672","23.655829446943","23.082653900009","21.7016373939593","20.9935662579475","21.1420070501854","21.3444959349686","20.218157443689","20.6112427558614","20.4392949592688","19.3809926558719","20.2844118030354","18.678118566674","18.9542598066682","20.8521076737596","19.9391907506215","17.5861857642239","19.8822985282172","",
"Channel Islands","CHI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2839264386827","14.5844761379403","12.7798231847422","12.1152964039874","13.2770070103556","13.1456400046218","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.065442627283","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.6686948009612","48.8665341962956","58.646137344434","48.5973153695346","106.500522736019","106.280979179561","","","84.8102640173471","79.4576584012943","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289.844727083008","113.584666666667","128.444708097928","104.00210747895","169.786611378329","232.936231054902","243.595506269697","152.187001902338","","","","","","","","","","","","","","","","","","","","","","","","","15.9896967791738","","",
"Congo, Rep.","COG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2269417189103","25.4826844740907","","","","","","","","","","","","","","",
"Colombia","COL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.40391549112143","19.0653508704071","17.7090216802298","","","52.535419533379","","","","","65.2450803056946","68.9990033374936","72.4526699261111","62.8601328222053","65.227695883164","67.1029119456429","47.9761695160459","53.2785874737167","66.9071609125065","66.7272478472146","71.6505702481056","72.7038785770822","91.1566069449736","80.3666516174088","70.2698217564944","71.3300251691521","",
"Comoros","COM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0982111795656","30.1790308643986","40.2051024300097","40.1048028944163","38.5018488599169","39.3351119117989","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.2371901294995","27.1674893027183","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6956998515188","56.411185995744","56.0891425468354","58.7207992723831","53.6510804601294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7297302900884","13.9974227725367","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8541847518408","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.1550956180596","66.6053260676425","78.2852478726662","75.3312600417617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9601830753133","17.5702324990029","","16.4168038368014","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.3937810311232","41.9936027071082","35.5518633530173","34.4483319489156","33.0463254381031","29.4017173529386","31.6887321284498","32.1522731901097","32.9807911136506","32.2473254528987","31.5315339488836","33.6367282441719","40.6611017040864","38.9283126125291","33.3213696265984","31.5312190918236","",
"Europe & Central Asia","ECS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
